GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Testes2,com.acme.credvarejo.cliente,Cpf,34,256,20,30,7,48,20,11,0,6
Testes2,com.acme.credvarejo.cliente,ControladorCliente,12,43,3,3,3,17,3,6,0,6
Testes2,com.acme.credvarejo.cliente,Cliente,4,176,8,14,2,48,9,22,1,19
Testes2,com.acme.credvarejo.contaCrediario,ContaCrediarioEspecial,53,88,4,2,12,25,4,7,1,7
Testes2,com.acme.credvarejo.conta,MovimentoCrediario,124,0,10,0,28,0,15,0,10,0
Testes2,com.acme.credvarejo.conta,ControladorMovimentoCrediario,32,0,4,0,13,0,5,0,3,0
Testes2,com.acme.credvarejo.conta,MovimentoCrediarioCredito,6,0,0,0,2,0,1,0,1,0
Testes2,com.acme.credvarejo.conta,ContaCrediario,72,51,6,0,26,18,16,6,13,6
Testes2,com.acme.credvarejo.conta,IdentificadorContaCrediario,9,77,4,6,3,19,4,7,0,6
Testes2,com.acme.credvarejo.conta,ControladorContaCrediario,109,20,12,4,28,5,12,2,4,2
Testes2,com.acme.credvarejo.conta,MovimentoCrediarioDebito,6,0,0,0,2,0,1,0,1,0
Testes2,com.acme.credvarejo.classesGerais,Registro,0,7,0,0,0,4,0,2,0,2
Testes2,com.acme.credvarejo.classesGerais,Repositorios,33,31,0,0,9,9,6,3,6,3
Testes2,com.acme.credvarejo.classesGerais,RepositorioRegistro,170,10,24,0,33,4,17,1,5,1
Testes2,com.acme.credvarejo.ado.cliente,RepositorioCliente,47,148,11,13,7,33,9,9,0,6
Testes2,com.acme.credvarejo.ado.conta,RepositorioMovimentoCrediario,153,17,4,0,21,6,5,1,3,1
Testes2,com.acme.credvarejo.ado.conta,RepositorioContaCrediario,114,56,10,4,17,17,10,5,3,5
